                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.74976,                0.50934,                 1.0779,                      0,                      0,                      0,                      0,                      0,                 291.54,                      0,               0.001406,               0.001406,               0.001406
                     62,                0.72345,                0.45153,                  1.044,                      0,                      0,                      0,                      0,                      0,                 381.25,                      0,              0.0013961,              0.0013961,              0.0013961
                     63,                0.66212,                0.42554,                 1.0102,                      0,                      0,                      0,                      0,                      0,                 409.83,                      0,              0.0013862,              0.0013862,              0.0013862
                     64,                0.65762,                0.44011,                0.98682,                      0,                      0,                      0,                      0,                      0,                 525.75,                      0,              0.0013763,              0.0013763,              0.0013763
                     65,                0.75555,                 0.4791,                 1.0399,                      0,                      0,                      0,                      0,                      0,                 506.92,                      0,              0.0013664,              0.0013664,              0.0013664
                     66,                0.73149,                0.47723,                 1.0299,                      0,                      0,                      0,                      0,                      0,                 486.83,                      0,              0.0013565,              0.0013565,              0.0013565
                     67,                0.62368,                 0.4119,                0.97375,                      0,                      0,                      0,                      0,                      0,                 471.17,                      0,              0.0013466,              0.0013466,              0.0013466
                     68,                0.71519,                 0.4534,                 1.0038,                      0,                      0,                      0,                      0,                      0,                 333.88,                      0,              0.0013367,              0.0013367,              0.0013367
                     69,                0.68826,                0.42157,                0.99506,                      0,                      0,                      0,                      0,                      0,                 299.67,                      0,              0.0013268,              0.0013268,              0.0013268
                     70,                0.90861,                0.54572,                 1.1083,                      0,                      0,                      0,                      0,                      0,                 322.83,                      0,              0.0013169,              0.0013169,              0.0013169
                     71,                0.71663,                0.45963,                 1.0369,                      0,                      0,                      0,                      0,                      0,                 243.62,                      0,               0.001307,               0.001307,               0.001307
                     72,                0.68808,                0.43208,                 1.0066,                      0,                      0,                      0,                      0,                      0,                 213.79,                      0,              0.0012971,              0.0012971,              0.0012971
                     73,                0.76362,                0.45527,                 1.0278,                      0,                      0,                      0,                      0,                      0,                 241.08,                      0,              0.0012872,              0.0012872,              0.0012872
                     74,                0.83078,                0.49761,                 1.0524,                      0,                      0,                      0,                      0,                      0,                 231.75,                      0,              0.0012773,              0.0012773,              0.0012773
                     75,                0.64361,                0.41431,                 1.0027,                      0,                      0,                      0,                      0,                      0,                    228,                      0,              0.0012674,              0.0012674,              0.0012674
                     76,                0.71314,                0.43242,                0.99019,                      0,                      0,                      0,                      0,                      0,                  248.5,                      0,              0.0012575,              0.0012575,              0.0012575
                     77,                0.64144,                0.46142,                 1.0011,                      0,                      0,                      0,                      0,                      0,                 256.58,                      0,              0.0012476,              0.0012476,              0.0012476
                     78,                0.65556,                0.46081,                0.98081,                      0,                      0,                      0,                      0,                      0,                 214.33,                      0,              0.0012377,              0.0012377,              0.0012377
                     79,                0.66873,                0.41527,                0.98615,                      0,                      0,                      0,                      0,                      0,                    202,                      0,              0.0012278,              0.0012278,              0.0012278
                     80,                0.62017,                0.41289,                0.96652,                      0,                      0,                      0,                      0,                      0,                 228.08,                      0,              0.0012179,              0.0012179,              0.0012179
                     81,                0.68614,                 0.4283,                 1.0379,                      0,                      0,                      0,                      0,                      0,                 250.62,                      0,               0.001208,               0.001208,               0.001208
                     82,                0.66777,                0.41933,                0.93744,                      0,                      0,                      0,                      0,                      0,                 245.58,                      0,              0.0011981,              0.0011981,              0.0011981
                     83,                0.64234,                0.41542,                0.96981,                      0,                      0,                      0,                      0,                      0,                 238.08,                      0,              0.0011882,              0.0011882,              0.0011882
                     84,                 0.6738,                0.41219,                 1.0133,                      0,                      0,                      0,                      0,                      0,                    225,                      0,              0.0011783,              0.0011783,              0.0011783
                     85,                0.66881,                0.44376,                 1.0052,                      0,                      0,                      0,                      0,                      0,                 217.67,                      0,              0.0011684,              0.0011684,              0.0011684
                     86,                0.67215,                 0.4206,                 1.0012,                      0,                      0,                      0,                      0,                      0,                 202.58,                      0,              0.0011585,              0.0011585,              0.0011585
                     87,                0.75013,                0.42922,                 1.0578,                      0,                      0,                      0,                      0,                      0,                 213.71,                      0,              0.0011486,              0.0011486,              0.0011486
                     88,                0.67994,                0.44472,                 1.0273,                      0,                      0,                      0,                      0,                      0,                 245.88,                      0,              0.0011387,              0.0011387,              0.0011387
                     89,                0.73839,                0.51402,                 1.0218,                      0,                      0,                      0,                      0,                      0,                 244.75,                      0,              0.0011288,              0.0011288,              0.0011288
                     90,                0.58122,                0.37759,                0.96068,                      0,                      0,                      0,                      0,                      0,                 210.38,                      0,              0.0011189,              0.0011189,              0.0011189
                     91,                0.65443,                0.44495,                0.96079,                      0,                      0,                      0,                      0,                      0,                 199.04,                      0,               0.001109,               0.001109,               0.001109
                     92,                0.54028,                0.44886,                0.81127,                      0,                      0,                      0,                      0,                      0,                 223.67,                      0,              0.0010991,              0.0010991,              0.0010991
                     93,                0.68552,                0.47095,                0.99886,                      0,                      0,                      0,                      0,                      0,                 251.54,                      0,              0.0010892,              0.0010892,              0.0010892
                     94,                0.57705,                0.37014,                0.82653,                      0,                      0,                      0,                      0,                      0,                 248.38,                      0,              0.0010793,              0.0010793,              0.0010793
                     95,                0.66924,                0.44344,                0.95238,                      0,                      0,                      0,                      0,                      0,                 221.46,                      0,              0.0010694,              0.0010694,              0.0010694
                     96,                 0.5799,                0.44386,                0.95427,                      0,                      0,                      0,                      0,                      0,                    215,                      0,              0.0010595,              0.0010595,              0.0010595
                     97,                0.59662,                0.38069,                0.97423,                      0,                      0,                      0,                      0,                      0,                  234.5,                      0,              0.0010496,              0.0010496,              0.0010496
                     98,                0.58536,                 0.3575,                0.93612,                      0,                      0,                      0,                      0,                      0,                 262.42,                      0,              0.0010397,              0.0010397,              0.0010397
                     99,                0.68372,                0.41487,                 1.0051,                      0,                      0,                      0,                      0,                      0,                 255.29,                      0,              0.0010298,              0.0010298,              0.0010298
                    100,                0.63315,                0.40695,                0.96911,                      0,                      0,                      0,                      0,                      0,                 247.46,                      0,              0.0010199,              0.0010199,              0.0010199
                    101,                0.60879,                0.39276,                0.96427,                      0,                      0,                      0,                      0,                      0,                 271.46,                      0,                0.00101,                0.00101,                0.00101
                    102,                0.63367,                0.40636,                0.98497,                      0,                      0,                      0,                      0,                      0,                 208.38,                      0,              0.0010001,              0.0010001,              0.0010001
                    103,                 0.6191,                0.41237,                0.97893,                      0,                      0,                      0,                      0,                      0,                 206.54,                      0,              0.0009902,              0.0009902,              0.0009902
                    104,                0.64163,                0.41287,                0.98996,                      0,                      0,                      0,                      0,                      0,                 221.79,                      0,              0.0009803,              0.0009803,              0.0009803
                    105,                0.59333,                0.38678,                0.97369,                      0,                      0,                      0,                      0,                      0,                 225.62,                      0,              0.0009704,              0.0009704,              0.0009704
                    106,                0.61165,                0.39151,                0.96463,                      0,                      0,                      0,                      0,                      0,                 210.58,                      0,              0.0009605,              0.0009605,              0.0009605
                    107,                0.67725,                0.39559,                0.96483,                      0,                      0,                      0,                      0,                      0,                 197.75,                      0,              0.0009506,              0.0009506,              0.0009506
                    108,                0.58539,                0.39484,                0.95604,                      0,                      0,                      0,                      0,                      0,                 203.08,                      0,              0.0009407,              0.0009407,              0.0009407
                    109,                0.53941,                0.34821,                 0.9467,                      0,                      0,                      0,                      0,                      0,                 219.62,                      0,              0.0009308,              0.0009308,              0.0009308
                    110,                0.58021,                0.37521,                0.94001,                      0,                      0,                      0,                      0,                      0,                 265.29,                      0,              0.0009209,              0.0009209,              0.0009209
                    111,                0.62709,                0.39339,                0.99749,                      0,                      0,                      0,                      0,                      0,                 270.88,                      0,               0.000911,               0.000911,               0.000911
                    112,                0.65069,                 0.3764,                0.97531,                      0,                      0,                      0,                      0,                      0,                 249.33,                      0,              0.0009011,              0.0009011,              0.0009011
                    113,                0.70575,                0.39468,                0.98423,                      0,                      0,                      0,                      0,                      0,                 243.17,                      0,              0.0008912,              0.0008912,              0.0008912
                    114,                0.71485,                0.40462,                0.99418,                      0,                      0,                      0,                      0,                      0,                 234.58,                      0,              0.0008813,              0.0008813,              0.0008813
                    115,                0.61079,                 0.3786,                 0.9553,                      0,                      0,                      0,                      0,                      0,                 231.92,                      0,              0.0008714,              0.0008714,              0.0008714
                    116,                0.57485,                0.36599,                0.92851,                      0,                      0,                      0,                      0,                      0,                 232.25,                      0,              0.0008615,              0.0008615,              0.0008615
                    117,                0.56725,                0.37915,                0.93306,                      0,                      0,                      0,                      0,                      0,                 245.88,                      0,              0.0008516,              0.0008516,              0.0008516
                    118,                0.59607,                0.36267,                0.97929,                      0,                      0,                      0,                      0,                      0,                 264.67,                      0,              0.0008417,              0.0008417,              0.0008417
                    119,                0.50768,                 0.3457,                0.83227,                      0,                      0,                      0,                      0,                      0,                 261.33,                      0,              0.0008318,              0.0008318,              0.0008318
                    120,                0.60021,                0.37971,                0.95944,                      0,                      0,                      0,                      0,                      0,                 253.42,                      0,              0.0008219,              0.0008219,              0.0008219
                    121,                0.82896,                0.59816,                 1.1429,                      0,                      0,                      0,                      0,                      0,                  253.5,                      0,               0.000812,               0.000812,               0.000812
                    122,                0.51618,                0.37994,                0.90437,                      0,                      0,                      0,                      0,                      0,                 247.62,                      0,              0.0008021,              0.0008021,              0.0008021
                    123,                0.52515,                0.35241,                0.93374,                      0,                      0,                      0,                      0,                      0,                 238.79,                      0,              0.0007922,              0.0007922,              0.0007922
                    124,                0.64485,                 0.3736,                0.99265,                      0,                      0,                      0,                      0,                      0,                 244.38,                      0,              0.0007823,              0.0007823,              0.0007823
                    125,                0.58141,                0.35832,                0.94845,                      0,                      0,                      0,                      0,                      0,                    253,                      0,              0.0007724,              0.0007724,              0.0007724
                    126,                0.53982,                0.36719,                0.93911,                      0,                      0,                      0,                      0,                      0,                 263.75,                      0,              0.0007625,              0.0007625,              0.0007625
                    127,                0.60664,                0.37098,                0.99536,                      0,                      0,                      0,                      0,                      0,                 256.62,                      0,              0.0007526,              0.0007526,              0.0007526
                    128,                0.87745,                0.57542,                 1.2224,                      0,                      0,                      0,                      0,                      0,                    244,                      0,              0.0007427,              0.0007427,              0.0007427
                    129,                0.43913,                0.29069,                0.78834,                      0,                      0,                      0,                      0,                      0,                 240.42,                      0,              0.0007328,              0.0007328,              0.0007328
                    130,                0.49966,                0.31592,                0.95577,                      0,                      0,                      0,                      0,                      0,                 261.29,                      0,              0.0007229,              0.0007229,              0.0007229
                    131,                0.48161,                0.34075,                0.93457,                      0,                      0,                      0,                      0,                      0,                 273.04,                      0,               0.000713,               0.000713,               0.000713
                    132,                0.56224,                0.33687,                 0.9571,                      0,                      0,                      0,                      0,                      0,                 268.12,                      0,              0.0007031,              0.0007031,              0.0007031
                    133,                0.57758,                0.39768,                 0.9822,                      0,                      0,                      0,                      0,                      0,                 253.12,                      0,              0.0006932,              0.0006932,              0.0006932
                    134,                0.54405,                0.34587,                0.95878,                      0,                      0,                      0,                      0,                      0,                 217.96,                      0,              0.0006833,              0.0006833,              0.0006833
                    135,                0.46986,                0.32477,                0.90887,                      0,                      0,                      0,                      0,                      0,                 210.04,                      0,              0.0006734,              0.0006734,              0.0006734
