                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.71679,                0.52524,                0.92096,                      0,                      0,                      0,                      0,                      0,                 125.94,                      0,              0.0006536,              0.0006536,              0.0006536
                     70,                0.77682,                0.53828,                0.91904,                      0,                      0,                      0,                      0,                      0,                 135.22,                      0,              0.0006338,              0.0006338,              0.0006338
                     71,                0.67326,                0.47817,                0.85713,                      0,                      0,                      0,                      0,                      0,                 138.19,                      0,               0.000614,               0.000614,               0.000614
                     72,                0.74366,                0.50017,                 0.9255,                      0,                      0,                      0,                      0,                      0,                 135.25,                      0,              0.0005942,              0.0005942,              0.0005942
                     73,                0.75521,                0.49458,                0.92156,                      0,                      0,                      0,                      0,                      0,                 135.25,                      0,              0.0005744,              0.0005744,              0.0005744
                     74,                0.71115,                0.49496,                0.88526,                      0,                      0,                      0,                      0,                      0,                 128.95,                      0,              0.0005546,              0.0005546,              0.0005546
                     75,                0.82564,                0.53071,                0.93291,                      0,                      0,                      0,                      0,                      0,                 130.02,                      0,              0.0005348,              0.0005348,              0.0005348
                     76,                0.71722,                0.48154,                0.89338,                      0,                      0,                      0,                      0,                      0,                  134.8,                      0,               0.000515,               0.000515,               0.000515
                     77,                0.70258,                0.49339,                 0.8892,                      0,                      0,                      0,                      0,                      0,                  134.8,                      0,              0.0004952,              0.0004952,              0.0004952
                     78,                0.77851,                 0.5205,                0.90975,                      0,                      0,                      0,                      0,                      0,                 137.41,                      0,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.8697,                0.53913,                0.95295,                      0,                      0,                      0,                      0,                      0,                 134.47,                      0,              0.0004556,              0.0004556,              0.0004556
                     80,                0.73395,                 0.4741,                0.88212,                      0,                      0,                      0,                      0,                      0,                 131.38,                      0,              0.0004358,              0.0004358,              0.0004358
                     81,                0.75244,                0.50569,                 0.9033,                      0,                      0,                      0,                      0,                      0,                 131.38,                      0,               0.000416,               0.000416,               0.000416
                     82,                0.66558,                0.43129,                 0.8595,                      0,                      0,                      0,                      0,                      0,                 135.06,                      0,              0.0003962,              0.0003962,              0.0003962
                     83,                0.69664,                0.47406,                0.89632,                      0,                      0,                      0,                      0,                      0,                 142.25,                      0,              0.0003764,              0.0003764,              0.0003764
                     84,                0.70916,                0.48219,                0.87537,                      0,                      0,                      0,                      0,                      0,                 146.75,                      0,              0.0003566,              0.0003566,              0.0003566
                     85,                0.62286,                0.47536,                 0.8652,                      0,                      0,                      0,                      0,                      0,                 146.75,                      0,              0.0003368,              0.0003368,              0.0003368
                     86,                  0.652,                0.46331,                0.88394,                      0,                      0,                      0,                      0,                      0,                 146.75,                      0,               0.000317,               0.000317,               0.000317
                     87,                0.67917,                0.46186,                0.88599,                      0,                      0,                      0,                      0,                      0,                    146,                      0,              0.0002972,              0.0002972,              0.0002972
                     88,                0.64899,                0.42811,                0.85804,                      0,                      0,                      0,                      0,                      0,                 146.34,                      0,              0.0002774,              0.0002774,              0.0002774
